id;description;area;quantity;creation_date;modification_date
1;Cambridgeshire;88325;57794;2020-06-09T02:26:41;2020-06-09T02:42:38
2;pricing structure Rubber stable;68776;42747;2020-06-08T17:46:33;2020-06-08T17:39:44
3;Manager;22470;4542;2020-06-08T21:47:12;2020-06-08T16:46:50
4;Serbian Dinar;30732;46143;2020-06-09T02:04:59;2020-06-08T22:15:18
5;Up-sized;86167;42815;2020-06-08T08:16:07;2020-06-08T08:02:48
6;tan clear-thinking bypassing;93332;53649;2020-06-08T20:11:52;2020-06-08T18:27:21
7;Rustic Small Granite Computer Lari;95174;12666;2020-06-08T11:11:12;2020-06-08T23:25:03
8;green;29067;94466;2020-06-08T23:24:23;2020-06-08T22:39:02
9;Cambridgeshire Awesome USB;6223;73744;2020-06-08T06:29:59;2020-06-09T00:48:00
10;Future Ergonomic Granite Computer Bermudian Dollar (customarily known as Bermuda Dollar);31899;17104;2020-06-08T21:14:58;2020-06-09T02:01:22
