id;room_number;floor;number_of_bed;capacity;creation_date;modification_date
1;27942;6223;94637;33929;2020-06-09T02:50:57;2020-06-08T11:30:54
2;84007;98208;53348;60491;2020-06-08T06:31:43;2020-06-08T12:54:30
3;24793;97148;23020;29269;2020-06-08T09:02:33;2020-06-09T03:25:59
4;64600;89502;97261;65118;2020-06-08T23:20:10;2020-06-08T12:06:00
5;95052;30473;40817;46710;2020-06-08T13:12:03;2020-06-08T08:15:20
6;75973;51588;60437;54062;2020-06-08T11:47:17;2020-06-08T05:57:22
7;11817;4331;66228;41358;2020-06-08T13:36:28;2020-06-09T02:30:18
8;18009;77443;29687;93217;2020-06-08T07:42:38;2020-06-08T21:01:39
9;93364;30492;52941;87116;2020-06-08T21:36:28;2020-06-09T02:27:27
10;89369;92400;14319;73293;2020-06-08T19:48:02;2020-06-08T10:49:18
